Order ID,Order Date,Customer ID,Region,Category,Quantity,Revenue,Status
ORD-1001,2026-06-03,C-101,华东,办公家具,2,4280,已支付
ORD-1002,2026-06-05,C-102,华南,电子配件,6,1890,已支付
ORD-1003,2026-06-08,C-103,华北,办公家具,1,2590,已支付
ORD-1004,2026-06-12,C-104,华东,耗材,12,960,已支付
ORD-1005,2026-06-18,C-105,西南,电子配件,3,2370,待支付
ORD-1006,2026-06-23,C-106,华南,耗材,20,1440,已支付
ORD-1007,2026-07-02,C-101,华东,电子配件,4,3160,已支付
ORD-1008,2026-07-05,C-102,华南,办公家具,2,5120,已支付
ORD-1009,2026-07-09,C-103,华北,耗材,15,1125,已支付
ORD-1010,2026-07-13,C-104,华东,办公家具,1,2860,退款
ORD-1011,2026-07-18,C-105,西南,电子配件,5,3950,已支付
ORD-1012,2026-07-21,C-106,华南,办公家具,3,6480,已支付
